report_date,load_weight,Rolling_Mean_7D,Day_of_Week
2003-06-14,10.085,10.085,Saturday
2003-06-15,10.085,10.085,Sunday
2003-06-16,10.085,10.085,Monday
2003-06-17,10.085,10.085,Tuesday
2003-06-18,10.085,10.085,Wednesday
2003-06-19,10.085,10.085,Thursday
2003-06-20,10.085,10.085,Friday
2003-06-21,10.085,10.085,Saturday
2003-06-22,10.085,10.085,Sunday
2003-06-23,10.085,10.085,Monday
2003-06-24,10.085,10.085,Tuesday
2003-06-25,10.085,10.085,Wednesday
2003-06-26,10.085,10.085,Thursday
2003-06-27,10.085,10.085,Friday
2003-06-28,10.085,10.085,Saturday
2003-06-29,10.085,10.085,Sunday
2003-06-30,10.085,10.085,Monday
2003-07-01,10.085,10.085,Tuesday
2003-07-02,10.085,10.085,Wednesday
2003-07-03,10.085,10.085,Thursday
2003-07-04,10.085,10.085,Friday
2003-07-05,10.085,10.085,Saturday
2003-07-06,10.085,10.085,Sunday
2003-07-07,10.085,10.085,Monday
2003-07-08,10.085,10.085,Tuesday
2003-07-09,10.085,10.085,Wednesday
2003-07-10,10.085,10.085,Thursday
2003-07-11,10.085,10.085,Friday
2003-07-12,10.085,10.085,Saturday
2003-07-13,10.085,10.085,Sunday
2003-07-14,10.085,10.085,Monday
2003-07-15,10.085,10.085,Tuesday
2003-07-16,10.085,10.085,Wednesday
2003-07-17,10.085,10.085,Thursday
2003-07-18,10.085,10.085,Friday
2003-07-19,10.085,10.085,Saturday
2003-07-20,10.085,10.085,Sunday
2003-07-21,10.085,10.085,Monday
2003-07-22,10.085,10.085,Tuesday
2003-07-23,10.085,10.085,Wednesday
2003-07-24,10.085,10.085,Thursday
2003-07-25,10.085,10.085,Friday
2003-07-26,10.085,10.085,Saturday
2003-07-27,10.085,10.085,Sunday
2003-07-28,10.085,10.085,Monday
2003-07-29,10.085,10.085,Tuesday
2003-07-30,10.085,10.085,Wednesday
2003-07-31,10.085,10.085,Thursday
2003-08-01,10.085,10.085,Friday
2003-08-02,10.085,10.085,Saturday
2003-08-03,10.085,10.085,Sunday
2003-08-04,10.085,10.085,Monday
2003-08-05,10.085,10.085,Tuesday
2003-08-06,10.085,10.085,Wednesday
2003-08-07,10.085,10.085,Thursday
2003-08-08,10.085,10.085,Friday
2003-08-09,10.085,10.085,Saturday
2003-08-10,10.085,10.085,Sunday
2003-08-11,10.085,10.085,Monday
2003-08-12,10.085,10.085,Tuesday
2003-08-13,10.085,10.085,Wednesday
2003-08-14,10.085,10.085,Thursday
2003-08-15,10.085,10.085,Friday
2003-08-16,10.085,10.085,Saturday
2003-08-17,10.085,10.085,Sunday
2003-08-18,10.085,10.085,Monday
2003-08-19,10.085,10.085,Tuesday
2003-08-20,10.085,10.085,Wednesday
2003-08-21,10.085,10.085,Thursday
2003-08-22,10.085,10.085,Friday
2003-08-23,10.085,10.085,Saturday
2003-08-24,10.085,10.085,Sunday
2003-08-25,10.085,10.085,Monday
2003-08-26,10.085,10.085,Tuesday
2003-08-27,10.085,10.085,Wednesday
2003-08-28,10.085,10.085,Thursday
2003-08-29,10.085,10.085,Friday
2003-08-30,10.085,10.085,Saturday
2003-08-31,10.085,10.085,Sunday
2003-09-01,10.085,10.085,Monday
2003-09-02,10.085,10.085,Tuesday
2003-09-03,10.085,10.085,Wednesday
2003-09-04,10.085,10.085,Thursday
2003-09-05,10.085,10.085,Friday
2003-09-06,10.085,10.085,Saturday
2003-09-07,10.085,10.085,Sunday
2003-09-08,10.085,10.085,Monday
2003-09-09,10.085,10.085,Tuesday
2003-09-10,10.085,10.085,Wednesday
2003-09-11,10.085,10.085,Thursday
2003-09-12,10.085,10.085,Friday
2003-09-13,10.085,10.085,Saturday
2003-09-14,10.085,10.085,Sunday
2003-09-15,10.085,10.085,Monday
2003-09-16,10.085,10.085,Tuesday
2003-09-17,10.085,10.085,Wednesday
2003-09-18,10.085,10.085,Thursday
2003-09-19,10.085,10.085,Friday
2003-09-20,10.085,10.085,Saturday
2003-09-21,10.085,10.085,Sunday
2003-09-22,10.085,10.085,Monday
2003-09-23,10.085,10.085,Tuesday
2003-09-24,10.085,10.085,Wednesday
2003-09-25,10.085,10.085,Thursday
2003-09-26,10.085,10.085,Friday
2003-09-27,10.085,10.085,Saturday
2003-09-28,10.085,10.085,Sunday
2003-09-29,10.085,10.085,Monday
2003-09-30,10.085,10.085,Tuesday
2003-10-01,10.085,10.085,Wednesday
2003-10-02,10.085,10.085,Thursday
2003-10-03,10.085,10.085,Friday
2003-10-04,10.085,10.085,Saturday
2003-10-05,10.085,10.085,Sunday
2003-10-06,10.085,10.085,Monday
2003-10-07,10.085,10.085,Tuesday
2003-10-08,10.085,10.085,Wednesday
2003-10-09,10.085,10.085,Thursday
2003-10-10,10.085,10.085,Friday
2003-10-11,10.085,10.085,Saturday
2003-10-12,10.085,10.085,Sunday
2003-10-13,10.085,10.085,Monday
2003-10-14,10.085,10.085,Tuesday
2003-10-15,10.085,10.085,Wednesday
2003-10-16,10.085,10.085,Thursday
2003-10-17,10.085,10.085,Friday
2003-10-18,10.085,10.085,Saturday
2003-10-19,10.085,10.085,Sunday
2003-10-20,10.085,10.085,Monday
2003-10-21,10.085,10.085,Tuesday
2003-10-22,10.085,10.085,Wednesday
2003-10-23,10.085,10.085,Thursday
2003-10-24,10.085,10.085,Friday
2003-10-25,10.085,10.085,Saturday
2003-10-26,10.085,10.085,Sunday
2003-10-27,10.085,10.085,Monday
2003-10-28,10.085,10.085,Tuesday
2003-10-29,10.085,10.085,Wednesday
2003-10-30,10.085,10.085,Thursday
2003-10-31,10.085,10.085,Friday
2003-11-01,10.085,10.085,Saturday
2003-11-02,10.085,10.085,Sunday
2003-11-03,10.085,10.085,Monday
2003-11-04,10.085,10.085,Tuesday
2003-11-05,10.085,10.085,Wednesday
2003-11-06,10.085,10.085,Thursday
2003-11-07,10.085,10.085,Friday
2003-11-08,10.085,10.085,Saturday
2003-11-09,10.085,10.085,Sunday
2003-11-10,10.085,10.085,Monday
2003-11-11,10.085,10.085,Tuesday
2003-11-12,10.085,10.085,Wednesday
2003-11-13,10.085,10.085,Thursday
2003-11-14,10.085,10.085,Friday
2003-11-15,10.085,10.085,Saturday
2003-11-16,10.085,10.085,Sunday
2003-11-17,10.085,10.085,Monday
2003-11-18,10.085,10.085,Tuesday
2003-11-19,10.085,10.085,Wednesday
2003-11-20,10.085,10.085,Thursday
2003-11-21,10.085,10.085,Friday
2003-11-22,10.085,10.085,Saturday
2003-11-23,10.085,10.085,Sunday
2003-11-24,10.085,10.085,Monday
2003-11-25,10.085,10.085,Tuesday
2003-11-26,10.085,10.085,Wednesday
2003-11-27,10.085,10.085,Thursday
2003-11-28,10.085,10.085,Friday
2003-11-29,10.085,10.085,Saturday
2003-11-30,10.085,10.085,Sunday
2003-12-01,10.085,10.085,Monday
2003-12-02,10.085,10.085,Tuesday
2003-12-03,10.085,10.085,Wednesday
2003-12-04,10.085,10.085,Thursday
2003-12-05,10.085,10.085,Friday
2003-12-06,10.085,10.085,Saturday
2003-12-07,10.085,10.085,Sunday
2003-12-08,10.085,10.085,Monday
2003-12-09,10.085,10.085,Tuesday
2003-12-10,10.085,10.085,Wednesday
2003-12-11,10.085,10.085,Thursday
2003-12-12,10.085,10.085,Friday
2003-12-13,10.085,10.085,Saturday
2003-12-14,10.085,10.085,Sunday
2003-12-15,10.085,10.085,Monday
2003-12-16,10.085,10.085,Tuesday
2003-12-17,10.085,10.085,Wednesday
2003-12-18,10.085,10.085,Thursday
2003-12-19,10.085,10.085,Friday
2003-12-20,10.085,10.085,Saturday
2003-12-21,10.085,10.085,Sunday
2003-12-22,10.085,10.085,Monday
2003-12-23,10.085,10.085,Tuesday
2003-12-24,10.085,10.085,Wednesday
2003-12-25,10.085,10.085,Thursday
2003-12-26,10.085,10.085,Friday
2003-12-27,10.085,10.085,Saturday
2003-12-28,10.085,10.085,Sunday
2003-12-29,10.085,10.085,Monday
2003-12-30,10.085,10.085,Tuesday
2003-12-31,10.085,10.085,Wednesday
2004-01-01,10.085,10.085,Thursday
2004-01-02,10.085,10.085,Friday
2004-01-03,10.085,10.085,Saturday
2004-01-04,10.085,10.085,Sunday
2004-01-05,10.085,10.085,Monday
2004-01-06,10.085,10.085,Tuesday
2004-01-07,10.085,10.085,Wednesday
2004-01-08,10.085,10.085,Thursday
2004-01-09,10.085,10.085,Friday
2004-01-10,10.085,10.085,Saturday
2004-01-11,10.085,10.085,Sunday
2004-01-12,10.085,10.085,Monday
2004-01-13,10.085,10.085,Tuesday
2004-01-14,10.085,10.085,Wednesday
2004-01-15,10.085,10.085,Thursday
2004-01-16,10.085,10.085,Friday
2004-01-17,10.085,10.085,Saturday
2004-01-18,10.085,10.085,Sunday
2004-01-19,10.085,10.085,Monday
2004-01-20,10.085,10.085,Tuesday
2004-01-21,10.085,10.085,Wednesday
2004-01-22,10.085,10.085,Thursday
2004-01-23,10.085,10.085,Friday
2004-01-24,10.085,10.085,Saturday
2004-01-25,10.085,10.085,Sunday
2004-01-26,10.085,10.085,Monday
2004-01-27,10.085,10.085,Tuesday
2004-01-28,10.085,10.085,Wednesday
2004-01-29,10.085,10.085,Thursday
2004-01-30,10.085,10.085,Friday
2004-01-31,10.085,10.085,Saturday
2004-02-01,10.085,10.085,Sunday
2004-02-02,10.085,10.085,Monday
2004-02-03,10.085,10.085,Tuesday
2004-02-04,10.085,10.085,Wednesday
2004-02-05,10.085,10.085,Thursday
2004-02-06,10.085,10.085,Friday
2004-02-07,10.085,10.085,Saturday
2004-02-08,10.085,10.085,Sunday
2004-02-09,10.085,10.085,Monday
2004-02-10,10.085,10.085,Tuesday
2004-02-11,10.085,10.085,Wednesday
2004-02-12,10.085,10.085,Thursday
2004-02-13,10.085,10.085,Friday
2004-02-14,10.085,10.085,Saturday
2004-02-15,10.085,10.085,Sunday
2004-02-16,10.085,10.085,Monday
2004-02-17,10.085,10.085,Tuesday
2004-02-18,10.085,10.085,Wednesday
2004-02-19,10.085,10.085,Thursday
2004-02-20,10.085,10.085,Friday
2004-02-21,10.085,10.085,Saturday
2004-02-22,10.085,10.085,Sunday
2004-02-23,10.085,10.085,Monday
2004-02-24,10.085,10.085,Tuesday
2004-02-25,10.085,10.085,Wednesday
2004-02-26,10.085,10.085,Thursday
2004-02-27,10.085,10.085,Friday
2004-02-28,10.085,10.085,Saturday
2004-02-29,10.085,10.085,Sunday
2004-03-01,10.085,10.085,Monday
2004-03-02,10.085,10.085,Tuesday
2004-03-03,10.085,10.085,Wednesday
2004-03-04,10.085,10.085,Thursday
2004-03-05,10.085,10.085,Friday
2004-03-06,10.085,10.085,Saturday
2004-03-07,10.085,10.085,Sunday
2004-03-08,10.085,10.085,Monday
2004-03-09,10.085,10.085,Tuesday
2004-03-10,10.085,10.085,Wednesday
2004-03-11,10.085,10.085,Thursday
2004-03-12,10.085,10.085,Friday
2004-03-13,10.085,10.085,Saturday
2004-03-14,10.085,10.085,Sunday
2004-03-15,10.085,10.085,Monday
2004-03-16,10.085,10.085,Tuesday
2004-03-17,10.085,10.085,Wednesday
2004-03-18,10.085,10.085,Thursday
2004-03-19,10.085,10.085,Friday
2004-03-20,10.085,10.085,Saturday
2004-03-21,10.085,10.085,Sunday
2004-03-22,10.085,10.085,Monday
2004-03-23,10.085,10.085,Tuesday
2004-03-24,10.085,10.085,Wednesday
2004-03-25,10.085,10.085,Thursday
2004-03-26,10.085,10.085,Friday
2004-03-27,10.085,10.085,Saturday
2004-03-28,10.085,10.085,Sunday
2004-03-29,10.085,10.085,Monday
2004-03-30,10.085,10.085,Tuesday
2004-03-31,10.085,10.085,Wednesday
2004-04-01,10.085,10.085,Thursday
2004-04-02,10.085,10.085,Friday
2004-04-03,10.085,10.085,Saturday
2004-04-04,10.085,10.085,Sunday
2004-04-05,10.085,10.085,Monday
2004-04-06,10.085,10.085,Tuesday
2004-04-07,10.085,10.085,Wednesday
2004-04-08,10.085,10.085,Thursday
2004-04-09,10.085,10.085,Friday
2004-04-10,10.085,10.085,Saturday
2004-04-11,10.085,10.085,Sunday
2004-04-12,10.085,10.085,Monday
2004-04-13,10.085,10.085,Tuesday
2004-04-14,10.085,10.085,Wednesday
2004-04-15,10.085,10.085,Thursday
2004-04-16,10.085,10.085,Friday
2004-04-17,10.085,10.085,Saturday
2004-04-18,10.085,10.085,Sunday
2004-04-19,10.085,10.085,Monday
2004-04-20,10.085,10.085,Tuesday
2004-04-21,10.085,10.085,Wednesday
2004-04-22,10.085,10.085,Thursday
2004-04-23,10.085,10.085,Friday
2004-04-24,10.085,10.085,Saturday
2004-04-25,10.085,10.085,Sunday
2004-04-26,10.085,10.085,Monday
2004-04-27,10.085,10.085,Tuesday
2004-04-28,10.085,10.085,Wednesday
2004-04-29,10.085,10.085,Thursday
2004-04-30,10.085,10.085,Friday
2004-05-01,10.085,10.085,Saturday
2004-05-02,10.085,10.085,Sunday
2004-05-03,10.085,10.085,Monday
2004-05-04,10.085,10.085,Tuesday
2004-05-05,10.085,10.085,Wednesday
2004-05-06,10.085,10.085,Thursday
2004-05-07,10.085,10.085,Friday
2004-05-08,10.085,10.085,Saturday
2004-05-09,10.085,10.085,Sunday
2004-05-10,10.085,10.085,Monday
2004-05-11,10.085,10.085,Tuesday
2004-05-12,10.085,10.085,Wednesday
2004-05-13,10.085,10.085,Thursday
2004-05-14,10.085,10.085,Friday
2004-05-15,10.085,10.085,Saturday
2004-05-16,10.085,10.085,Sunday
2004-05-17,10.085,10.085,Monday
2004-05-18,10.085,10.085,Tuesday
2004-05-19,10.085,10.085,Wednesday
2004-05-20,10.085,10.085,Thursday
2004-05-21,10.085,10.085,Friday
2004-05-22,10.085,10.085,Saturday
2004-05-23,10.085,10.085,Sunday
2004-05-24,10.085,10.085,Monday
2004-05-25,10.085,10.085,Tuesday
2004-05-26,10.085,10.085,Wednesday
2004-05-27,10.085,10.085,Thursday
2004-05-28,10.085,10.085,Friday
2004-05-29,10.085,10.085,Saturday
2004-05-30,10.085,10.085,Sunday
2004-05-31,10.085,10.085,Monday
2004-06-01,10.085,10.085,Tuesday
2004-06-02,10.085,10.085,Wednesday
2004-06-03,10.085,10.085,Thursday
2004-06-04,10.085,10.085,Friday
2004-06-05,10.085,10.085,Saturday
2004-06-06,10.085,10.085,Sunday
2004-06-07,10.085,10.085,Monday
2004-06-08,10.085,10.085,Tuesday
2004-06-09,10.085,10.085,Wednesday
2004-06-10,10.085,10.085,Thursday
2004-06-11,10.085,10.085,Friday
2004-06-12,10.085,10.085,Saturday
2004-06-13,10.085,10.085,Sunday
2004-06-14,10.085,10.085,Monday
2004-06-15,10.085,10.085,Tuesday
2004-06-16,10.085,10.085,Wednesday
2004-06-17,10.085,10.085,Thursday
2004-06-18,10.085,10.085,Friday
2004-06-19,10.085,10.085,Saturday
2004-06-20,10.085,10.085,Sunday
2004-06-21,10.085,10.085,Monday
2004-06-22,10.085,10.085,Tuesday
2004-06-23,10.085,10.085,Wednesday
2004-06-24,10.085,10.085,Thursday
2004-06-25,10.085,10.085,Friday
2004-06-26,10.085,10.085,Saturday
2004-06-27,10.085,10.085,Sunday
2004-06-28,10.085,10.085,Monday
2004-06-29,10.085,10.085,Tuesday
2004-06-30,10.085,10.085,Wednesday
2004-07-01,10.085,10.085,Thursday
2004-07-02,10.085,10.085,Friday
2004-07-03,10.085,10.085,Saturday
2004-07-04,10.085,10.085,Sunday
2004-07-05,10.085,10.085,Monday
2004-07-06,10.085,10.085,Tuesday
2004-07-07,10.085,10.085,Wednesday
2004-07-08,10.085,10.085,Thursday
2004-07-09,10.085,10.085,Friday
2004-07-10,10.085,10.085,Saturday
2004-07-11,10.085,10.085,Sunday
2004-07-12,10.085,10.085,Monday
2004-07-13,10.085,10.085,Tuesday
2004-07-14,10.085,10.085,Wednesday
2004-07-15,10.085,10.085,Thursday
2004-07-16,10.085,10.085,Friday
2004-07-17,10.085,10.085,Saturday
2004-07-18,10.085,10.085,Sunday
2004-07-19,10.085,10.085,Monday
2004-07-20,10.085,10.085,Tuesday
2004-07-21,10.085,10.085,Wednesday
2004-07-22,10.085,10.085,Thursday
2004-07-23,10.085,10.085,Friday
2004-07-24,10.085,10.085,Saturday
2004-07-25,10.085,10.085,Sunday
2004-07-26,10.085,10.085,Monday
2004-07-27,10.085,10.085,Tuesday
2004-07-28,10.085,10.085,Wednesday
2004-07-29,10.085,10.085,Thursday
2004-07-30,10.085,10.085,Friday
2004-07-31,10.085,10.085,Saturday
2004-08-01,10.085,10.085,Sunday
2004-08-02,10.085,10.085,Monday
2004-08-03,10.085,10.085,Tuesday
2004-08-04,10.085,10.085,Wednesday
2004-08-05,10.085,10.085,Thursday
2004-08-06,10.085,10.085,Friday
2004-08-07,10.085,10.085,Saturday
2004-08-08,10.085,10.085,Sunday
2004-08-09,10.085,10.085,Monday
2004-08-10,10.085,10.085,Tuesday
2004-08-11,10.085,10.085,Wednesday
2004-08-12,10.085,10.085,Thursday
2004-08-13,10.085,10.085,Friday
2004-08-14,10.085,10.085,Saturday
2004-08-15,10.085,10.085,Sunday
2004-08-16,10.085,10.085,Monday
2004-08-17,10.085,10.085,Tuesday
2004-08-18,10.085,10.085,Wednesday
2004-08-19,10.085,10.085,Thursday
2004-08-20,10.085,10.085,Friday
2004-08-21,10.085,10.085,Saturday
2004-08-22,10.085,10.085,Sunday
2004-08-23,10.085,10.085,Monday
2004-08-24,10.085,10.085,Tuesday
2004-08-25,69.57000000000001,18.582857142857144,Wednesday
2004-08-26,30.740000000000002,21.53357142857143,Thursday
2004-08-27,30.740000000000002,24.484285714285722,Friday
2004-08-28,30.740000000000002,27.435000000000002,Saturday
2004-08-29,30.740000000000002,30.38571428571429,Sunday
2004-08-30,6.58,29.885,Monday
2004-08-31,6.58,29.384285714285713,Tuesday
2004-09-01,6.58,20.38571428571429,Wednesday
2004-09-02,6.58,16.934285714285714,Thursday
2004-09-03,6.58,13.482857142857144,Friday
2004-09-04,6.58,10.031428571428572,Saturday
2004-09-05,6.58,6.58,Sunday
2004-09-06,6.58,6.58,Monday
2004-09-07,6.58,6.58,Tuesday
2004-09-08,6.58,6.58,Wednesday
2004-09-09,6.58,6.58,Thursday
2004-09-10,6.58,6.58,Friday
2004-09-11,6.58,6.58,Saturday
2004-09-12,6.58,6.58,Sunday
2004-09-13,6.58,6.58,Monday
2004-09-14,6.58,6.58,Tuesday
2004-09-15,6.58,6.58,Wednesday
2004-09-16,6.58,6.58,Thursday
2004-09-17,6.58,6.58,Friday
2004-09-18,6.58,6.58,Saturday
2004-09-19,6.58,6.58,Sunday
2004-09-20,6.58,6.58,Monday
2004-09-21,6.58,6.58,Tuesday
2004-09-22,6.58,6.58,Wednesday
2004-09-23,6.58,6.58,Thursday
2004-09-24,6.58,6.58,Friday
2004-09-25,6.58,6.58,Saturday
2004-09-26,6.58,6.58,Sunday
2004-09-27,6.58,6.58,Monday
2004-09-28,60.37,14.264285714285714,Tuesday
2004-09-29,51.300000000000004,20.65285714285714,Wednesday
2004-09-30,67.26,29.321428571428573,Thursday
2004-10-01,444.1645,91.83349999999999,Friday
2004-10-02,0.22,90.92492857142857,Saturday
2004-10-03,0.0,89.98492857142857,Sunday
2004-10-04,755.1015,196.91657142857142,Monday
2004-10-05,782.302,300.0497142857143,Tuesday
2004-10-06,686.255,390.7575714285714,Wednesday
2004-10-07,698.65,480.9561428571429,Thursday
2004-10-08,615.29,505.40264285714284,Friday
2004-10-09,3.79,505.9126428571429,Saturday
2004-10-10,3.79,506.4540714285714,Sunday
2004-10-11,753.1,506.16814285714287,Monday
2004-10-12,768.025,504.12857142857143,Tuesday
2004-10-13,690.506,504.7358571428571,Wednesday
2004-10-14,723.1505,508.2359285714286,Thursday
2004-10-15,737.5525,525.702,Friday
2004-10-16,1.69,525.4019999999999,Saturday
2004-10-17,0.0,524.8605714285715,Sunday
2004-10-18,806.15,532.4391428571429,Monday
2004-10-19,723.033,526.0117142857142,Tuesday
2004-10-20,704.381,527.9938571428572,Wednesday
2004-10-21,697.305,524.3016428571428,Thursday
2004-10-22,628.03,508.6555714285714,Friday
2004-10-23,0.46,508.47985714285716,Saturday
2004-10-24,0.46,508.5455714285714,Sunday
2004-10-25,755.37,501.29128571428566,Monday
2004-10-26,759.16,506.4522857142857,Tuesday
2004-10-27,708.411,507.0279999999999,Wednesday
2004-10-28,746.02,513.9872857142857,Thursday
2004-10-29,680.8585,521.5342142857143,Friday
2004-10-30,2.79,521.8670714285714,Saturday
2004-10-31,0.0,521.8013571428571,Sunday
2004-11-01,802.817,528.5795,Monday
2004-11-02,852.8875,541.9691428571429,Tuesday
2004-11-03,739.2,546.3675714285715,Wednesday
2004-11-04,793.5,553.1504285714286,Thursday
2004-11-05,725.1,559.4706428571428,Friday
2004-11-06,4.77,559.7535,Saturday
2004-11-07,0.0,559.7535,Sunday
2004-11-08,806.3,560.2510714285714,Monday
2004-11-09,785.02,550.5557142857143,Tuesday
2004-11-10,729.41,549.1571428571428,Wednesday
2004-11-11,706.4304999999999,536.7186428571429,Thursday
2004-11-12,654.365,526.6136428571428,Friday
2004-11-13,3.7300000000000004,526.4650714285714,Saturday
2004-11-14,0.0,526.4650714285714,Sunday
2004-11-15,666.56,506.5022142857143,Monday
2004-11-16,676.5,490.99935714285715,Tuesday
2004-11-17,631.89,477.0679285714285,Wednesday
2004-11-18,657.54,470.0835714285714,Thursday
2004-11-19,658.91,470.73285714285714,Friday
2004-11-20,6.56,471.13714285714286,Saturday
2004-11-21,0.0,471.13714285714286,Sunday
2004-11-22,764.94,485.1914285714286,Monday
2004-11-23,796.24,502.29714285714283,Tuesday
2004-11-24,726.1355,515.7607857142857,Wednesday
